,categorical_accuracy,loss,val_categorical_accuracy,val_loss
3,0.3832512315760301,2.228688189118171,0.08326908261296193,2.4655365647953476
4,0.3766830871551495,2.1697998459507484,0.26831148832507934,2.3480309794844345
5,0.40394088693440255,2.091779955658811,0.27987663839629917,2.496254782540668
6,0.41576354689590256,1.9852555175524431,0.37239784122937997,2.1712389003338957
7,0.39507389155710465,1.9900795702080813,0.21588280659137363,2.367026674444159
8,0.4137931032916791,1.8792637166522799,0.3338473400154202,2.279635179796491
9,0.4157635466218582,1.7567618839846455,0.23824209751490913,2.6436080173427725
10,0.4735632183516554,1.6134272228516577,0.3114880495744204,2.460417292902997
11,0.4683087030263566,1.5677351753112718,0.4456437934152696,2.0943715237109775
12,0.49261083747757284,1.4868122991572068,0.2814186587642502,2.7570731991883326
13,0.5136288997672853,1.3941876573515644,0.30686198925181546,2.5696176432055884
14,0.5711001643602093,1.3022334412792438,0.20431765640526436,2.777945719688051
15,0.5993431858632756,1.1829804599774492,0.4610639938319198,2.4610346463625947
16,0.6072249587925002,1.1679943461332023,0.4387047031611411,2.3171981703849047
17,0.5921182266401344,1.1342215704604715,0.38550501179492924,2.659013681624978
18,0.6492610839787375,0.99424334817332,0.35851966075558983,2.9115554864648314
19,0.5622331690905716,1.3126312179126958,0.30377794920525003,2.772356600166746
20,0.56157635458193,1.2432561133295443,0.2914417890649441,2.725888481485724
21,0.576683087204086,1.1348558186701758,0.3754818812644564,2.5125973579188723
22,0.6118226597461794,1.0577232696152672,0.37162683114880496,2.5353254690341243
23,0.6660098519231298,0.8972719887794532,0.3253662297609869,3.093494195901805
24,0.6889983576115325,0.9047108112689114,0.4263685429289236,2.6040200314433553
25,0.5977011493861382,1.0476259610140068,0.4317656129529684,2.487989421296253
26,0.6696223319261924,0.8870017540670185,0.39244410177332306,2.752006240976068
27,0.6824302132493757,0.8494282366411243,0.4448727833461835,2.660399237847273
28,0.705747126417207,0.7842127539645667,0.4309946029298381,2.6811242679014815
29,0.7264367817266429,0.7374531358725136,0.47571318427139553,2.680678911642125
30,0.736288998592859,0.7150769408113263,0.3292212798766384,3.298257536203841
31,0.665681445030939,0.819276912928802,0.38858905165767155,2.8033986055193814
32,0.6469622334823233,0.8268730670262636,0.48419429452582885,2.366462435507278
33,0.733004926030076,0.637421733914142,0.4579799537853544,2.7490475424087863
34,0.7779967161822201,0.5895252895668418,0.48573631457208943,2.737217379235587
35,0.802627257780097,0.490335469106931,0.471858134155744,2.803558346616505
36,0.7379310343261618,0.7141638836445675,0.425597532767926,2.9381498617501376
37,0.543185550121251,0.9628245545138279,0.36083269096284804,2.6244398823313833
38,0.7096880134494825,0.7592029553524575,0.41788743253662297,2.607998732934112
39,0.7402298853706648,0.6640093962204672,0.3515805706852845,3.037009186554433
40,0.7596059109777066,0.6035646263405998,0.38936006168080184,2.8223063308492864
41,0.7513957306865009,0.5692953423326239,0.4009252120277564,2.9685504320354053
42,0.7546798029360904,0.631059414451737,0.3801079414032382,3.1134968409321933
43,0.7464696224491388,0.6336223574547932,0.3138010794140324,3.0482558106476514
44,0.6696223319261924,0.663918149177664,0.3492675407078051,2.7505790190045984
45,0.6732348109505251,0.675695474276989,0.3962991518889746,2.8992706264728936
46,0.7688013136876236,0.4637635755812985,0.4317656129989242,2.7160456415463985
47,0.7806239739035934,0.460878394204016,0.42482652279075145,2.94614284644126
48,0.8121510671081605,0.3652917879261994,0.44872783355374657,2.796775906060233
49,0.8022988504964143,0.4260473400599068,0.4664610639938319,2.72222671245922
50,0.8308702788720969,0.3402422126682325,0.42868157286044717,3.1039581962659346
51,0.8400656815624393,0.29173426078066644,0.4448727833461835,3.183570558789747
52,0.8571428573973269,0.29004581617604336,0.4579799537393986,3.2011401191750166
53,0.8518883416022377,0.3046190077350253,0.4764841943404816,3.0246504053542407
54,0.8456486045237637,0.3232227824200159,0.42791056292922847,3.2562543222926266
55,0.8788177340488715,0.23637838133645958,0.471858134155744,3.2669359986457054
56,0.9037766829500058,0.20357723657916527,0.4656900539707016,3.2890428998776833
57,0.8663382591676634,0.2828202526361876,0.4209714726291442,3.570694214935108
58,0.8748768469578723,0.2771449720306545,0.50886661535791,3.105043329189351
59,0.688998357924726,0.821765898503302,0.1989205860250623,3.0417655562104495
60,0.5573070610685301,0.9877189198933994,0.27833461857981745,3.2974780284632326
61,0.7034482759795165,0.6164714149457872,0.3531225909613239,2.843419884201556
62,0.75862068977262,0.4586075065269063,0.3469545104545911,3.2672209128243423
63,0.7293924466142514,0.572679831594082,0.42097147295083465,2.8724087051639393
64,0.7330049264215679,0.6464628600917622,0.4055512721665382,2.7790736115940415
65,0.7376026271795013,0.5318800761977636,0.4225134926754048,2.7458694788613682
66,0.736945812651285,0.5953235113562034,0.40400925212027755,2.6465529722255656
67,0.766174056083698,0.49956568906264154,0.4379336931380108,2.739501906321912
68,0.7776683089572612,0.5469498823575786,0.4479568234387047,2.84481373115363
69,0.7707717570961011,0.4713947233503871,0.4795682344789586,2.527995068944686
70,0.8384236452418986,0.33544692785673347,0.4942174251022574,2.721103506264727
71,0.779310345082056,0.47731506401682133,0.4178874328583134,2.7425056342078618
72,0.8013136287628136,0.37912995331784577,0.5381649961449498,2.513415127843274
73,0.7868637111778134,0.6733434552629592,0.39707016195806066,2.5820157720593184
74,0.6830870276992935,0.754060458745471,0.33384734029115487,2.809528119488689
75,0.7208538589023409,0.6854450319298774,0.37625289160927716,2.6467013782322546
76,0.6847290639611104,0.6738006169964331,0.4140323826507504,2.4845178173244595
77,0.7865353040898766,0.43039874188320587,0.38936006177271343,2.867967037807176
78,0.7747126436585863,0.5383296311097387,0.35312259073154506,2.8550280914595243
79,0.6824302133863979,0.7390202224841846,0.48573631457208943,2.2845466043699587
